pattern  missing_frac  noise_std stratum              method  n_points          mse       nll    cov90    cov95     mean_std   sigma2_obs  sigma2_hat
 blocks           0.7       0.10    d50p           srif_flat     297.2 2.189977e+00  2.155772 1.000000 1.000000 3.271849e+00          NaN    0.010729
 blocks           0.7       0.10    d50p    srif_transported     297.2 3.738070e+08  6.232924 1.000000 1.000000 8.198394e+03          NaN    0.010729
 blocks           0.7       0.10    d50p unhippo_linear_best     297.2 2.032087e-01  9.140294 1.000000 1.000000 3.734875e+03 1.000000e+09         NaN
 blocks           0.7       0.10    d50p unhippo_native_best     297.2 2.183110e-01  5.512512 1.000000 1.000000 9.936895e+01 1.000000e+04         NaN
 blocks           0.7       0.10    d50p    unhippo_zoh_best     297.2 7.140436e-01 12.683186 1.000000 1.000000 1.290197e+05 1.000000e+13         NaN
 blocks           0.7       0.25     all         legs_linear    1000.0 8.204105e-02       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.25     all            legs_zoh    1000.0 6.547863e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.25     all                srif    1000.0 1.471139e-01 -0.424457 0.943500 0.967700 4.283489e-01          NaN    0.066549
 blocks           0.7       0.25     all           srif_flat    1000.0 7.821557e-01  0.028952 0.952200 0.972100 1.356974e+00          NaN    0.066549
 blocks           0.7       0.25     all    srif_transported    1000.0 8.796112e+08  2.039978 0.954800 0.975800 8.114697e+03          NaN    0.066549
 blocks           0.7       0.25     all unhippo_linear_best    1000.0 8.193716e-02  8.351815 1.000000 1.000000 1.706872e+03 1.000000e+08         NaN
 blocks           0.7       0.25     all unhippo_native_best    1000.0 8.583416e-02  5.932620 1.000000 1.000000 1.551963e+02 1.000000e+05         NaN
 blocks           0.7       0.25     all    unhippo_zoh_best    1000.0 5.532914e-01 10.049654 1.000000 1.000000 9.469061e+03 1.000000e+10         NaN
 blocks           0.7       0.25  d21_50         legs_linear     108.0 1.028211e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.25  d21_50            legs_zoh     108.0 1.716287e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.25  d21_50                srif     108.0 1.637205e-01  0.661188 0.968333 0.990000 6.371757e-01          NaN    0.066549
 blocks           0.7       0.25  d21_50           srif_flat     108.0 6.674835e-01  1.433018 1.000000 1.000000 1.696342e+00          NaN    0.066549
 blocks           0.7       0.25  d21_50    srif_transported     108.0 7.545626e+03  4.022120 1.000000 1.000000 6.227030e+01          NaN    0.066549
 blocks           0.7       0.25  d21_50 unhippo_linear_best     108.0 9.634597e-02  8.309788 1.000000 1.000000 1.623028e+03 1.000000e+08         NaN
 blocks           0.7       0.25  d21_50 unhippo_native_best     108.0 8.873927e-02  5.595025 1.000000 1.000000 1.081219e+02 1.000000e+04         NaN
 blocks           0.7       0.25  d21_50    unhippo_zoh_best     108.0 7.265525e-01 10.876969 1.000000 1.000000 2.133757e+04 1.000000e+11         NaN
 blocks           0.7       0.25    d50p         legs_linear     297.2 2.185353e-01       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.25    d50p            legs_zoh     297.2 1.288262e+00       NaN      NaN      NaN          NaN          NaN         NaN
 blocks           0.7       0.25    d50p                srif     297.2 3.953689e-01  1.149620 0.999710 1.000000 1.050965e+00          NaN    0.066549
 blocks           0.7       0.25    d50p           srif_flat     297.2 2.213206e+00  2.285015 1.000000 1.000000 3.694807e+00          NaN    0.066549
 blocks           0.7       0.25    d50p    srif_transported     297.2 2.188154e+09  7.144286 1.000000 1.000000 2.043325e+04          NaN    0.066549
 blocks           0.7       0.25    d50p unhippo_linear_best     297.2 2.092297e-01  9.140294 1.000000 1.000000 3.734875e+03 1.000000e+09         NaN
 blocks           0.7       0.25    d50p unhippo_native_best     297.2 2.216152e-01  5.512512 1.000000 1.000000 9.936895e+01 1.000000e+04         NaN
 blocks           0.7       0.25    d50p    unhippo_zoh_best     297.2 7.085877e-01 12.683186 1.000000 1.000000 1.290197e+05 1.000000e+13         NaN
 bursty           0.3       0.10     all         legs_linear    1000.0 1.580896e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.10     all            legs_zoh    1000.0 4.146608e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.10     all                srif    1000.0 1.972298e-01 -1.010553 0.904000 0.959200 4.040415e-01          NaN    0.010218
 bursty           0.3       0.10     all           srif_flat    1000.0 6.847835e-01 -0.680932 0.912100 0.961600 1.331068e+00          NaN    0.010218
 bursty           0.3       0.10     all    srif_transported    1000.0 3.887688e+10  1.195592 0.878700 0.921800 5.766012e+04          NaN    0.010218
 bursty           0.3       0.10     all unhippo_linear_best    1000.0 1.599877e-01  9.192816 1.000000 1.000000 3.999603e+03 1.000000e+09         NaN
 bursty           0.3       0.10     all unhippo_native_best    1000.0 4.777010e+14 14.010530 1.000000 1.000000 1.095386e+13 1.000000e+13         NaN
 bursty           0.3       0.10     all    unhippo_zoh_best    1000.0 3.537049e-01 10.049654 1.000000 1.000000 9.469061e+03 1.000000e+10         NaN
 bursty           0.3       0.10  d21_50         legs_linear     181.0 5.333334e-02       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.10  d21_50            legs_zoh     181.0 6.029223e-01       NaN      NaN      NaN          NaN          NaN         NaN
 bursty           0.3       0.10  d21_50                srif     181.0 1.827523e-01  0.517238 0.876331 0.984286 6.459435e-01          NaN    0.010218
 bursty           0.3       0.10  d21_50           srif_flat     181.0 7.361684e-01  1.070838 0.911064 0.975714 1.919190e+00          NaN    0.010218
 bursty           0.3       0.10  d21_50    srif_transported     181.0 2.926746e+07  3.985247 0.817479 0.857479 2.201369e+03          NaN    0.010218
 bursty           0.3       0.10  d21_50 unhippo_linear_best     181.0 5.133062e-02  8.367070 1.000000 1.000000 1.736098e+03 1.000000e+08         NaN
 bursty           0.3       0.10  d21_50 unhippo_native_best     181.0 1.896180e+02 13.490664 1.000000 1.000000 1.748351e+07 1.000000e+13         NaN
